datetime,carbon_intensity_actual,avg_carbon_intensity_forecast
2026-05-24T11:00:00.000000000,53.80699,51.85613
2026-05-24T12:00:00.000000000,53.53385,50.98678
2026-05-24T13:00:00.000000000,53.72307,51.16592
2026-05-24T14:00:00.000000000,53.92849,51.39173
2026-05-24T15:00:00.000000000,54.34935,51.96263
2026-05-24T16:00:00.000000000,54.62282,52.62638
2026-05-24T17:00:00.000000000,57.69694,52.88848
2026-05-24T18:00:00.000000000,62.10192,52.26456
2026-05-24T19:00:00.000000000,54.82776,52.17135
2026-05-24T20:00:00.000000000,55.12777,52.04006
2026-05-24T21:00:00.000000000,56.02868,52.91235
2026-05-24T22:00:00.000000000,55.51084,52.67635
2026-05-24T23:00:00.000000000,55.51604,52.10665
2026-05-25T00:00:00.000000000,56.6062,52.20185
2026-05-25T01:00:00.000000000,60.35804,51.85877
2026-05-25T02:00:00.000000000,61.21619,51.23663
2026-05-25T03:00:00.000000000,64.31378,51.24255
2026-05-25T04:00:00.000000000,64.14235,51.06857
2026-05-25T05:00:00.000000000,66.46631,52.58461
2026-05-25T06:00:00.000000000,64.72009,52.22516
2026-05-25T07:00:00.000000000,58.6713,52.19969
2026-05-25T08:00:00.000000000,57.16939,52.38624
2026-05-25T09:00:00.000000000,56.57214,51.49094
2026-05-25T10:00:00.000000000,55.98553,52.02142
2026-05-25T11:00:00.000000000,54.90389,51.85613
2026-05-25T12:00:00.000000000,55.0135,50.98678
2026-05-25T13:00:00.000000000,54.88388,51.16592
2026-05-25T14:00:00.000000000,54.92579,51.39173
2026-05-25T15:00:00.000000000,55.94062,51.96263
2026-05-25T16:00:00.000000000,56.75067,52.62638
2026-05-25T17:00:00.000000000,55.78305,52.88848
2026-05-25T18:00:00.000000000,50.88847,52.26456
2026-05-25T19:00:00.000000000,40.51125,52.17135
2026-05-25T20:00:00.000000000,40.50706,52.04006
2026-05-25T21:00:00.000000000,40.19946,52.91235
2026-05-25T22:00:00.000000000,44.66291,52.67635
2026-05-25T23:00:00.000000000,48.85925,52.10665
2026-05-26T00:00:00.000000000,58.88291,52.20185
2026-05-26T01:00:00.000000000,64.21417,51.85877
2026-05-26T02:00:00.000000000,69.12819,51.23663
2026-05-26T03:00:00.000000000,71.59969,51.24255
2026-05-26T04:00:00.000000000,67.20319,51.06857
2026-05-26T05:00:00.000000000,60.03612,52.58461
2026-05-26T06:00:00.000000000,56.29696,52.22516
2026-05-26T07:00:00.000000000,57.93303,52.19969
2026-05-26T08:00:00.000000000,58.41221,52.38624
2026-05-26T09:00:00.000000000,54.74137,51.49094
2026-05-26T10:00:00.000000000,52.9582,52.02142
2026-05-26T11:00:00.000000000,52.3499,51.85613
2026-05-26T12:00:00.000000000,52.96665,50.98678
2026-05-26T13:00:00.000000000,53.36764,51.16592
2026-05-26T14:00:00.000000000,53.0416,51.39173
2026-05-26T15:00:00.000000000,53.47376,51.96263
2026-05-26T16:00:00.000000000,54.70943,52.62638
2026-05-26T17:00:00.000000000,57.58901,52.88848
2026-05-26T18:00:00.000000000,56.5938,52.26456
2026-05-26T19:00:00.000000000,54.26802,52.17135
2026-05-26T20:00:00.000000000,53.65004,52.04006
2026-05-26T21:00:00.000000000,54.08793,52.91235
2026-05-26T22:00:00.000000000,54.31585,52.67635
2026-05-26T23:00:00.000000000,55.56463,52.10665
2026-05-27T00:00:00.000000000,50.44338,52.20185
2026-05-27T01:00:00.000000000,54.49173,51.85877
2026-05-27T02:00:00.000000000,59.86118,51.23663
2026-05-27T03:00:00.000000000,62.43446,51.24255
2026-05-27T04:00:00.000000000,59.96022,51.06857
2026-05-21T05:00:00.000000000,66.59828,52.58461
2026-05-21T06:00:00.000000000,57.95405,52.22516
2026-05-21T07:00:00.000000000,59.19189,52.19969
2026-05-21T08:00:00.000000000,55.04153,52.38624
2026-05-21T09:00:00.000000000,55.89955,51.49094
2026-05-21T10:00:00.000000000,55.45028,52.02142
2026-05-21T11:00:00.000000000,54.57504,51.85613
2026-05-21T12:00:00.000000000,55.67369,50.98678
2026-05-21T13:00:00.000000000,57.11506,51.16592
2026-05-21T14:00:00.000000000,56.48462,51.39173
2026-05-21T15:00:00.000000000,56.32029,51.96263
2026-05-21T16:00:00.000000000,56.83833,52.62638
2026-05-21T17:00:00.000000000,53.85584,52.88848
2026-05-21T18:00:00.000000000,54.72232,52.26456
2026-05-21T19:00:00.000000000,55.12121,52.17135
2026-05-21T20:00:00.000000000,54.50965,52.04006
2026-05-21T21:00:00.000000000,54.923,52.91235
2026-05-21T22:00:00.000000000,54.05413,52.67635
2026-05-21T23:00:00.000000000,56.96496,52.10665
2026-05-22T00:00:00.000000000,65.94624,52.20185
2026-05-22T01:00:00.000000000,73.26459,51.85877
2026-05-22T02:00:00.000000000,75.25853,51.23663
2026-05-22T03:00:00.000000000,75.27183,51.24255
2026-05-22T04:00:00.000000000,73.58364,51.06857
2026-05-22T05:00:00.000000000,66.49593,52.58461
2026-05-22T06:00:00.000000000,58.72315,52.22516
2026-05-22T07:00:00.000000000,63.60819,52.19969
2026-05-22T08:00:00.000000000,63.8544,52.38624
2026-05-22T09:00:00.000000000,56.98606,51.49094
2026-05-22T10:00:00.000000000,55.94516,52.02142
2026-05-22T11:00:00.000000000,55.36107,51.85613
2026-05-22T12:00:00.000000000,55.21768,50.98678
2026-05-22T13:00:00.000000000,55.10693,51.16592
2026-05-22T14:00:00.000000000,55.12617,51.39173
2026-05-22T15:00:00.000000000,55.49763,51.96263
2026-05-22T16:00:00.000000000,56.94855,52.62638
2026-05-22T17:00:00.000000000,64.32333,52.88848
2026-05-22T18:00:00.000000000,57.52039,52.26456
2026-05-22T19:00:00.000000000,55.87758,52.17135
2026-05-22T20:00:00.000000000,55.44773,52.04006
2026-05-22T21:00:00.000000000,56.00128,52.91235
2026-05-22T22:00:00.000000000,57.35899,52.67635
2026-05-22T23:00:00.000000000,61.61994,52.10665
2026-05-23T00:00:00.000000000,66.05901,52.20185
2026-05-23T01:00:00.000000000,66.30781,51.85877
2026-05-23T02:00:00.000000000,68.59442,51.23663
2026-05-23T03:00:00.000000000,68.9774,51.24255
2026-05-23T04:00:00.000000000,68.95653,51.06857
2026-05-23T05:00:00.000000000,70.87344,52.58461
2026-05-23T06:00:00.000000000,70.91869,52.22516
2026-05-23T07:00:00.000000000,61.00265,52.19969
2026-05-23T08:00:00.000000000,57.28769,52.38624
2026-05-23T09:00:00.000000000,54.77232,51.49094
2026-05-23T10:00:00.000000000,54.23786,52.02142
2026-05-23T11:00:00.000000000,53.36291,51.85613
2026-05-23T12:00:00.000000000,53.30812,50.98678
2026-05-23T13:00:00.000000000,53.24184,51.16592
2026-05-23T14:00:00.000000000,53.45124,51.39173
2026-05-23T15:00:00.000000000,54.08344,51.96263
2026-05-23T16:00:00.000000000,54.65602,52.62638
2026-05-23T17:00:00.000000000,56.047,52.88848
2026-05-23T18:00:00.000000000,62.51679,52.26456
2026-05-23T19:00:00.000000000,55.54463,52.17135
2026-05-23T20:00:00.000000000,56.11597,52.04006
2026-05-23T21:00:00.000000000,55.96741,52.91235
2026-05-23T22:00:00.000000000,56.25338,52.67635
2026-05-23T23:00:00.000000000,57.64693,52.10665
2026-05-24T00:00:00.000000000,57.74167,52.20185
2026-05-24T01:00:00.000000000,58.77092,51.85877
2026-05-24T02:00:00.000000000,63.97319,51.23663
2026-05-24T03:00:00.000000000,68.3003,51.24255
2026-05-24T04:00:00.000000000,71.72918,51.06857
2026-05-24T05:00:00.000000000,73.27237,52.58461
2026-05-24T06:00:00.000000000,71.20318,52.22516
2026-05-24T07:00:00.000000000,61.19943,52.19969
2026-05-24T08:00:00.000000000,56.06155,52.38624
2026-05-24T09:00:00.000000000,54.65548,51.49094
2026-05-24T10:00:00.000000000,54.18128,52.02142
2026-05-24T11:00:00.000000000,53.80699,51.85613
2026-05-24T12:00:00.000000000,53.53385,50.98678
2026-05-24T13:00:00.000000000,53.72307,51.16592
2026-05-24T14:00:00.000000000,53.92849,51.39173
2026-05-24T15:00:00.000000000,54.34935,51.96263
2026-05-24T16:00:00.000000000,54.62282,52.62638
2026-05-24T17:00:00.000000000,57.69694,52.88848
2026-05-24T18:00:00.000000000,62.10192,52.26456
2026-05-24T19:00:00.000000000,54.82776,52.17135
2026-05-24T20:00:00.000000000,55.12777,52.04006
2026-05-24T21:00:00.000000000,56.02868,52.91235
2026-05-24T22:00:00.000000000,55.51084,52.67635
2026-05-24T23:00:00.000000000,55.51604,52.10665
2026-05-25T00:00:00.000000000,56.6062,52.20185
2026-05-25T01:00:00.000000000,60.35804,51.85877
2026-05-25T02:00:00.000000000,61.21619,51.23663
2026-05-25T03:00:00.000000000,64.31378,51.24255
2026-05-25T04:00:00.000000000,64.14235,51.06857
2026-05-25T05:00:00.000000000,66.46631,52.58461
2026-05-25T06:00:00.000000000,64.72009,52.22516
2026-05-25T07:00:00.000000000,58.6713,52.19969
2026-05-25T08:00:00.000000000,57.16939,52.38624
2026-05-25T09:00:00.000000000,56.57214,51.49094
2026-05-25T10:00:00.000000000,55.98553,52.02142
2026-05-25T11:00:00.000000000,54.90389,51.85613
2026-05-25T12:00:00.000000000,55.0135,50.98678
2026-05-25T13:00:00.000000000,54.88388,51.16592
2026-05-25T14:00:00.000000000,54.92579,51.39173
2026-05-25T15:00:00.000000000,55.94062,51.96263
2026-05-25T16:00:00.000000000,56.75067,52.62638
2026-05-25T17:00:00.000000000,55.78305,52.88848
2026-05-25T18:00:00.000000000,50.88847,52.26456
2026-05-25T19:00:00.000000000,40.51125,52.17135
2026-05-25T20:00:00.000000000,40.50706,52.04006
2026-05-25T21:00:00.000000000,40.19946,52.91235
2026-05-25T22:00:00.000000000,44.66291,52.67635
2026-05-25T23:00:00.000000000,48.85925,52.10665
2026-05-26T00:00:00.000000000,58.88291,52.20185
2026-05-26T01:00:00.000000000,64.21417,51.85877
2026-05-26T02:00:00.000000000,69.12819,51.23663
2026-05-26T03:00:00.000000000,71.59969,51.24255
2026-05-26T04:00:00.000000000,67.20319,51.06857
2026-05-26T05:00:00.000000000,60.03612,52.58461
2026-05-26T06:00:00.000000000,56.29696,52.22516
2026-05-26T07:00:00.000000000,57.93303,52.19969
2026-05-26T08:00:00.000000000,58.41221,52.38624
2026-05-26T09:00:00.000000000,54.74137,51.49094
2026-05-26T10:00:00.000000000,52.9582,52.02142
2026-05-26T11:00:00.000000000,52.3499,51.85613
2026-05-26T12:00:00.000000000,52.96665,50.98678
2026-05-26T13:00:00.000000000,53.36764,51.16592
2026-05-26T14:00:00.000000000,53.0416,51.39173
2026-05-26T15:00:00.000000000,53.47376,51.96263
2026-05-26T16:00:00.000000000,54.70943,52.62638
2026-05-26T17:00:00.000000000,57.58901,52.88848
2026-05-26T18:00:00.000000000,56.5938,52.26456
2026-05-26T19:00:00.000000000,54.26802,52.17135
2026-05-26T20:00:00.000000000,53.65004,52.04006
2026-05-26T21:00:00.000000000,54.08793,52.91235
2026-05-26T22:00:00.000000000,54.31585,52.67635
2026-05-26T23:00:00.000000000,55.56463,52.10665
2026-05-27T00:00:00.000000000,50.44338,52.20185
2026-05-27T01:00:00.000000000,54.49173,51.85877
2026-05-27T02:00:00.000000000,59.86118,51.23663
2026-05-27T03:00:00.000000000,62.43446,51.24255
2026-05-27T04:00:00.000000000,59.96022,51.06857
2026-05-27T05:00:00.000000000,52.79037,52.58461
2026-05-27T06:00:00.000000000,49.83202,52.22516
2026-05-27T07:00:00.000000000,54.61401,52.19969
2026-05-27T08:00:00.000000000,57.37705,52.38624
2026-05-27T09:00:00.000000000,49.92716,51.49094
2026-05-27T10:00:00.000000000,48.92295,52.02142
2026-05-27T11:00:00.000000000,48.35336,51.85613
2026-05-27T12:00:00.000000000,48.02766,50.98678
2026-05-27T13:00:00.000000000,48.03724,51.16592
2026-05-27T14:00:00.000000000,48.2272,51.39173
2026-05-27T15:00:00.000000000,45.96992,51.96263
2026-05-27T16:00:00.000000000,46.88965,52.62638
2026-05-27T17:00:00.000000000,45.52887,52.88848
2026-05-27T18:00:00.000000000,43.47334,52.26456
2026-05-27T19:00:00.000000000,42.52152,52.17135
2026-05-27T20:00:00.000000000,42.81692,52.04006
2026-05-27T21:00:00.000000000,42.74678,52.91235
2026-05-27T22:00:00.000000000,41.83098,52.67635
2026-05-27T23:00:00.000000000,43.10755,52.10665
2026-05-28T00:00:00.000000000,43.13623,52.20185
2026-05-28T01:00:00.000000000,47.29288,51.85877
2026-05-28T02:00:00.000000000,51.21388,51.23663
2026-05-28T03:00:00.000000000,52.2826,51.24255
2026-05-28T04:00:00.000000000,48.06033,51.06857
2026-05-22T05:00:00.000000000,66.49593,52.58461
2026-05-22T06:00:00.000000000,58.72315,52.22516
2026-05-22T07:00:00.000000000,63.60819,52.19969
2026-05-22T08:00:00.000000000,63.8544,52.38624
2026-05-22T09:00:00.000000000,56.98606,51.49094
2026-05-22T10:00:00.000000000,55.94516,52.02142
2026-05-22T11:00:00.000000000,55.36107,51.85613
2026-05-22T12:00:00.000000000,55.21768,50.98678
2026-05-22T13:00:00.000000000,55.10693,51.16592
2026-05-22T14:00:00.000000000,55.12617,51.39173
2026-05-22T15:00:00.000000000,55.49763,51.96263
2026-05-22T16:00:00.000000000,56.94855,52.62638
2026-05-22T17:00:00.000000000,64.32333,52.88848
2026-05-22T18:00:00.000000000,57.52039,52.26456
2026-05-22T19:00:00.000000000,55.87758,52.17135
2026-05-22T20:00:00.000000000,55.44773,52.04006
2026-05-22T21:00:00.000000000,56.00128,52.91235
2026-05-22T22:00:00.000000000,57.35899,52.67635
2026-05-22T23:00:00.000000000,61.61994,52.10665
2026-05-23T00:00:00.000000000,66.05901,52.20185
2026-05-23T01:00:00.000000000,66.30781,51.85877
2026-05-23T02:00:00.000000000,68.59442,51.23663
2026-05-23T03:00:00.000000000,68.9774,51.24255
2026-05-23T04:00:00.000000000,68.95653,51.06857
2026-05-23T05:00:00.000000000,70.87344,52.58461
2026-05-23T06:00:00.000000000,70.91869,52.22516
